D2;ActionState;timeScale;Frame;Time
D2;PREDRIVE;1;286;2.46033
D2;PREDRIVE;1;287;2.468564
D2;PREDRIVE;1;288;2.477057
D2;PREDRIVE;1;289;2.48506
D2;PREDRIVE;1;290;2.493263
D2;PREDRIVE;1;291;2.501497
D2;PREDRIVE;1;292;2.510001
D2;PREDRIVE;1;293;2.518004
D2;PREDRIVE;1;294;2.526196
D2;PREDRIVE;1;295;2.53443
D2;PREDRIVE;1;296;2.542901
D2;PREDRIVE;1;297;2.550897
D2;PREDRIVE;1;298;2.55913
D2;PREDRIVE;1;299;2.567364
D2;PREDRIVE;1;300;2.575822
D2;PREDRIVE;1;301;2.58383
D2;PREDRIVE;1;302;2.592083
D2;PREDRIVE;1;303;2.600739
D2;PREDRIVE;1;304;2.608739
D2;PREDRIVE;1;305;2.616763
D2;PREDRIVE;1;306;2.624997
D2;PREDRIVE;1;307;2.633689
D2;PREDRIVE;1;308;2.64167
D2;PREDRIVE;1;309;2.649696
D2;PREDRIVE;1;310;2.658575
D2;PREDRIVE;1;311;2.666163
D2;PREDRIVE;1;312;2.67451
D2;PREDRIVE;1;313;2.68263
D2;PREDRIVE;1;314;2.691539
D2;PREDRIVE;1;315;2.699096
D2;PREDRIVE;1;316;2.707329
D2;PREDRIVE;1;317;2.715562
D2;PREDRIVE;1;318;2.723796
D2;PREDRIVE;1;319;2.732386
D2;PREDRIVE;1;320;2.740404
D2;PREDRIVE;1;321;2.748496
D2;PREDRIVE;1;322;2.756729
D2;PREDRIVE;1;323;2.765023
D2;PREDRIVE;1;324;2.773196
D2;PREDRIVE;1;325;2.781943
D2;PREDRIVE;1;326;2.789937
D2;PREDRIVE;1;327;2.797898
D2;PREDRIVE;1;328;2.806129
D2;PREDRIVE;1;329;2.814363
D2;PREDRIVE;1;330;2.822597
D2;PREDRIVE;1;331;2.830868
D2;PREDRIVE;1;332;2.839062
D2;PREDRIVE;1;333;2.847296
D2;PREDRIVE;1;334;2.855804
D2;PREDRIVE;1;335;2.863763
D2;PREDRIVE;1;336;2.871997
D2;PREDRIVE;1;337;2.880672
D2;PREDRIVE;1;338;2.888463
D2;PREDRIVE;1;339;2.896696
D2;PREDRIVE;1;340;2.904929
D2;PREDRIVE;1;341;2.913599
D2;PREDRIVE;1;342;2.921596
D2;PREDRIVE;1;343;2.92963
D2;PREDRIVE;1;344;2.937863
D2;PREDRIVE;1;345;2.946503
D2;PREDRIVE;1;346;2.954441
D2;PREDRIVE;1;347;2.962563
D2;PREDRIVE;1;348;2.970796
D2;PREDRIVE;1;349;2.97941
D2;PREDRIVE;1;350;2.987382
D2;PREDRIVE;1;351;2.995496
D2;PREDRIVE;1;352;3.00373
D2;PREDRIVE;1;353;3.012281
D2;PREDRIVE;1;354;3.020292
D2;PREDRIVE;1;355;3.02843
D2;PREDRIVE;1;356;3.036663
D2;PREDRIVE;1;357;3.045223
D2;PREDRIVE;1;358;3.053255
D2;PREDRIVE;1;359;3.061363
D2;PREDRIVE;1;360;3.069596
D2;PREDRIVE;1;361;3.078165
D2;PREDRIVE;1;362;3.086144
D2;PREDRIVE;1;363;3.095102
D2;PREDRIVE;1;364;3.102529
D2;PREDRIVE;1;365;3.111059
D2;PREDRIVE;1;366;3.119035
D2;PREDRIVE;1;367;3.12723
D2;PREDRIVE;1;368;3.136048
D2;PREDRIVE;1;369;3.143697
